"","SYMBOL","ENSEMBL","ENTREZID"
"499","RNF144A","ENSG00000151692","9781"
"500","CIP2A","ENSG00000163507","57650"
"501","BRCA2","ENSG00000139618","675"
"502","TFB1M","ENSG00000029639","51106"
"503","CDKL5","ENSG00000008086","6792"
"504","MYO19","ENSG00000278259","80179"
"505","MYO19","ENSG00000278372","80179"
"506","WHRN","ENSG00000095397","25861"
"507","HIST1H2BH","ENSG00000275713","8345"
"508","VEPH1","ENSG00000197415","79674"
"509","PRKD1","ENSG00000184304","5587"
"510","RWDD2A","ENSG00000013392","112611"
"511","NOP16","ENSG00000048162","51491"
"512","HERC6","ENSG00000138642","55008"
"513","SPATS2L","ENSG00000196141","26010"
"514","NRP2","ENSG00000118257","8828"
"515","PSORS1C1","ENSG00000204540","170679"
"516","PSORS1C1","ENSG00000231094","170679"
"517","PSORS1C1","ENSG00000206458","170679"
"518","PSORS1C1","ENSG00000233734","170679"
"519","PSORS1C1","ENSG00000235487","170679"
"520","PSORS1C1","ENSG00000233439","170679"
"521","SYT11","ENSG00000132718","23208"
"522","ADAMTS9","ENSG00000163638","56999"
"523","PLAUR","ENSG00000011422","5329"
"524","DSN1","ENSG00000149636","79980"
"525","WDR62","ENSG00000075702","284403"
"526","HIST1H2AI","ENSG00000196747","8329"
"527","MFSD2A","ENSG00000168389","84879"
"528","VDR","ENSG00000111424","7421"
"529","MYC","ENSG00000136997","4609"
"530","MGLL","ENSG00000074416","11343"
"531","PAQR6","ENSG00000160781","79957"
"532","C1orf198","ENSG00000119280","84886"
"533","TCF19","ENSG00000137310","6941"
"534","TCF19","ENSG00000206455","6941"
"535","TCF19","ENSG00000224941","6941"
"536","TCF19","ENSG00000224472","6941"
"537","TCF19","ENSG00000224379","6941"
"538","TCF19","ENSG00000234674","6941"
"539","TCF19","ENSG00000233890","6941"
"540","MALT1","ENSG00000172175","10892"
"541","PHF11","ENSG00000136147","51131"
"542","WDHD1","ENSG00000198554","11169"
"543","NTM","ENSG00000182667","50863"
"544","MCMBP","ENSG00000197771","79892"
"545","DCBLD2","ENSG00000057019","131566"
"546","MUC15","ENSG00000169550","143662"
"547","DYSF","ENSG00000135636","8291"
"548","GLMP","ENSG00000198715","112770"
"549","HIST1H3F","ENSG00000277775","8968"
"550","PRAF2","ENSG00000243279","11230"
"551","TCOF1","ENSG00000070814","6949"
"552","MKI67","ENSG00000148773","4288"
"553","SYNC","ENSG00000162520","81493"
"554","TOMM40","ENSG00000130204","10452"
"555","HIST1H3G","ENSG00000273983","8355"
"556","VRK1","ENSG00000100749","7443"
"557","FANCA","ENSG00000187741","2175"
"558","PTPRZ1","ENSG00000106278","5803"
"559","COL11A2","ENSG00000204248","1302"
"560","COL11A2","ENSG00000235708","1302"
"561","COL11A2","ENSG00000230930","1302"
"562","COL11A2","ENSG00000223699","1302"
"563","COL11A2","ENSG00000206290","1302"
"564","COL11A2","ENSG00000227801","1302"
"565","COL11A2","ENSG00000232541","1302"
